,source,horse_id,original_elo,new_elo
0,20140914_ST_1,AMAZING GIFT(S090),1500,1436
1,20140914_ST_1,CARE FREE ELEGANCE(P340),1500,1500
2,20140914_ST_1,COOL PAL(S035),1500,1484
3,20140914_ST_1,DOUBLE DRAGON(K019),1500,1596
4,20140914_ST_1,EVERSPRING(P325),1500,1404
5,20140914_ST_1,GOLDWEAVER(P072),1500,1564
6,20140914_ST_1,LITTLE WIND(N306),1500,1420
7,20140914_ST_1,PLAIN BLUE BANNER(S070),1500,1580
8,20140914_ST_1,SUPER HORSE(L308),1500,1452
9,20140914_ST_1,SUPREME PROFIT(P230),1500,1548
10,20140914_ST_1,TAI PO FORTUNE(P081),1500,1468
11,20140914_ST_1,THE ONLY KID(H173),1500,1532
12,20140914_ST_1,WINNING ADVANTAGE(N359),1500,1516
13,20140914_ST_2,ALLEY-OOP(P379),1500,1412
14,20140914_ST_2,AMERICAN FAME(P449),1500,1396
15,20140914_ST_2,CALIFORNIA ROCK(S233),1500,1460
16,20140914_ST_2,FLYING KEEPER(M191),1500,1492
17,20140914_ST_2,JOYFUL LUCK(M223),1500,1444
18,20140914_ST_2,JUST GOOD(L133),1500,1524
19,20140914_ST_2,JUST MISTERE(P012),1500,1604
20,20140914_ST_2,KING ON EARTH(L251),1500,1540
21,20140914_ST_2,MASSIVE(P331),1500,1588
22,20140914_ST_2,MONEY CAFE(S031),1500,1508
23,20140914_ST_2,POSITIVE ENERGY(P011),1500,1556
24,20140914_ST_2,SHANGHAI PIONEER(L252),1500,1572
25,20140914_ST_2,SPARKLING SWORD(P256),1500,1428
26,20140914_ST_2,SUPER TEAM(M036),1500,1476
27,20140914_ST_3,BEST ELEVEN(N016),1500,1500
28,20140914_ST_3,BULLISH FRIEND(N333),1500,1452
29,20140914_ST_3,CHARLES THE GREAT(N171),1500,1516
30,20140914_ST_3,DIVINE TEN(P391),1500,1436
31,20140914_ST_3,EL ZONDA(K132),1500,1420
32,20140914_ST_3,GOLDEN HARVEST(N236),1500,1580
33,20140914_ST_3,HELENE SPIRIT(M310),1500,1468
34,20140914_ST_3,LORD SINCLAIR(N447),1500,1532
35,20140914_ST_3,PENIAPHOBIA(S143),1500,1548
36,20140914_ST_3,SMART VOLATILITY(P049),1500,1564
37,20140914_ST_3,TOUR DE FORCE(N297),1500,1484
38,20140914_ST_4,ABLE WARRIOR(P265),1500,1428
39,20140914_ST_4,COLLAGEN(P302),1500,1556
40,20140914_ST_4,ELEGANT FRAMES(N240),1500,1444
41,20140914_ST_4,EXCITABLE BOY(P440),1500,1572
42,20140914_ST_4,FOREVER AHEAD(N433),1500,1524
43,20140914_ST_4,GOLDEN GUNNERS(N330),1500,1396
44,20140914_ST_4,HEARTLAND(M332),1500,1492
45,20140914_ST_4,HIT THE BID(P214),1500,1588
46,20140914_ST_4,LUCKY DAY(S014),1500,1508
47,20140914_ST_4,OPTIMISM(S150),1500,1476
48,20140914_ST_4,ROMANTIC CASH(S319),1500,1604
49,20140914_ST_4,SILVER DRAGON(M326),1500,1460
50,20140914_ST_4,WIN CHANCE(P415),1500,1412
51,20140914_ST_4,WINNING BOY(N186),1500,1540
52,20140914_ST_5,DARK CORE(S293),1500,1396
53,20140914_ST_5,EXAGGERATION(S226),1500,1412
54,20140914_ST_5,FLASHING GUY(L158),1500,1524
55,20140914_ST_5,GALLANT ROCK(S240),1500,1492
56,20140914_ST_5,HAYHAY(P343),1500,1572
57,20140914_ST_5,HIGHLAND DRAGON(N265),1500,1444
58,20140914_ST_5,INCREDIBLE FELLOW(S177),1500,1556
59,20140914_ST_5,MELLIFLUENT(S059),1500,1588
60,20140914_ST_5,OCEAN ROAR(N317),1500,1460
61,20140914_ST_5,ORIENTAL PROSPER(N100),1500,1508
62,20140914_ST_5,REAL FIT(P418),1500,1476
63,20140914_ST_5,SENSATION(S225),1500,1604
64,20140914_ST_5,SIR JOHN(P344),1500,1428
65,20140914_ST_5,VICTORY GENERAL(L396),1500,1540
66,20140914_ST_6,AMBASSADORSHIP(N217),1500,1468
67,20140914_ST_6,BEST TANGO(S121),1500,1436
68,20140914_ST_6,GOOD CHOICE(P423),1500,1564
69,20140914_ST_6,JAZZY FEELING(P149),1500,1596
70,20140914_ST_6,KING OF REASON(M154),1500,1532
71,20140914_ST_6,MEGA CHAMPION(M149),1500,1420
72,20140914_ST_6,OVETT(P351),1500,1516
73,20140914_ST_6,PRINCIPAL(P108),1500,1548
74,20140914_ST_6,SMART BALL(P277),1500,1580
75,20140914_ST_6,STARTING OVER(P321),1500,1452
76,20140914_ST_6,SUPREME FLIGHT(M199),1500,1500
77,20140914_ST_6,TURBO JEWELLERY(N379),1500,1404
78,20140914_ST_6,WHY NOT(N053),1500,1484
79,20140914_ST_7,BEAUTY JOURNEY(P386),1500,1524
80,20140914_ST_7,CULTURAL CITY(N263),1500,1492
81,20140914_ST_7,DEMOKLES(P116),1500,1540
82,20140914_ST_7,FULL OF FUN(P199),1500,1444
83,20140914_ST_7,GLOBAL FAME(M335),1500,1508
84,20140914_ST_7,GOOD THINKER(M127),1500,1412
85,20140914_ST_7,GRAND HARBOUR(P421),1500,1588
86,20140914_ST_7,HAPPY ROCKY(S147),1500,1396
87,20140914_ST_7,HIDDEN VALUE(S126),1500,1604
88,20140914_ST_7,HIT A HOME RUN(N248),1500,1556
89,20140914_ST_7,LIBERAL OF MIND(P122),1500,1460
90,20140914_ST_7,MARK TWO(P065),1500,1476
91,20140914_ST_7,VARA PEARL(S138),1500,1572
92,20140914_ST_7,WATCH KING(S116),1500,1428
93,20140914_ST_8,ALL GREAT FRIENDS(S279),1500,1524
94,20140914_ST_8,CALLING WITH LOVE(N288),1500,1556
95,20140914_ST_8,EN CIVIL(S327),1500,1444
96,20140914_ST_8,FASHION MAESTRO(S297),1500,1492
97,20140914_ST_8,G-ONE LEADER(P383),1500,1460
98,20140914_ST_8,IMPERIAL FIGHTER(S348),1500,1476
99,20140914_ST_8,LITTLE DRAGON(S264),1500,1508
100,20140914_ST_8,PEARL WIN(P085),1500,1428
101,20140914_ST_8,SEASONS STAR(P058),1500,1540
102,20140914_ST_8,SPARKLING B(P100),1500,1412
103,20140914_ST_8,SUPREME FALCON(P224),1500,1588
104,20140914_ST_8,UNIVERSAL UNION(S263),1500,1572
105,20140914_ST_9,ATACX(N448),1500,1444
106,20140914_ST_9,BEAR HERO(M220),1500,1524
107,20140914_ST_9,BUNDLE OF JOY(P180),1500,1604
108,20140914_ST_9,BUNDLE OF LOVE(N324),1500,1412
109,20140914_ST_9,CALIFORNIA BOUNTY(P222),1500,1540
110,20140914_ST_9,CHARITY JOY(P278),1500,1572
111,20140914_ST_9,CRACKERJACK(N446),1500,1460
112,20140914_ST_9,ENSEMBLE(P249),1500,1396
113,20140914_ST_9,EXCITING DREAM(P191),1500,1476
114,20140914_ST_9,GURUS DREAM(M246),1500,1492
115,20140914_ST_9,LONDON CHINA TOWN(L236),1500,1588
116,20140914_ST_9,MY LITTLE FRIEND(S010),1500,1556
117,20140914_ST_9,MY NAME IS BOND(M287),1500,1428
118,20140914_ST_9,SPEEDYGONZALEZ(N412),1500,1508
119,20140914_ST_10,AUTUMN GOLD(P044),1500,1444
120,20140914_ST_10,DEEP THINKER(N159),1500,1556
121,20140914_ST_10,FLYING ELITE(N419),1500,1412
122,20140914_ST_10,FREE JUDGEMENT(M163),1500,1396
123,20140914_ST_10,HELENE SUPER STAR(S152),1500,1572
124,20140914_ST_10,JOLLY VICTOR(N140),1500,1476
125,20140914_ST_10,LITTLE MEN(N441),1500,1540
126,20140914_ST_10,MULTIVICTORY(P254),1500,1588
127,20140914_ST_10,PENGLAI XIANZI(K248),1500,1428
128,20140914_ST_10,ROYAL PARTNER(N394),1500,1508
129,20140914_ST_10,SICHUAN EXEC(N344),1500,1492
130,20140914_ST_10,SICHUAN VIGOUR(P412),1500,1460
131,20140914_ST_10,SMART MAN(P103),1500,1524
132,20140914_ST_10,TRUMP(P106),1500,1604
133,20140921_ST_1,BALTIC WARRIOR(S237),1500,1476
134,20140921_ST_1,BEAUTY KING(N028),1500,1540
135,20140921_ST_1,COLOURFUL PROFIT(S123),1500,1428
136,20140921_ST_1,DASHING SUPER(N348),1500,1492
137,20140921_ST_1,INDIGO WAY(M227),1500,1444
138,20140921_ST_1,MAC ROW(N252),1500,1412
139,20140921_ST_1,MEDIC SWORDSMAN(P168),1500,1460
140,20140921_ST_1,OSCAR MIRACLE(P431),1500,1588
141,20140921_ST_1,REAL GENERAL(M086),1500,1572
142,20140921_ST_1,SPICY DRAGON(S213),1500,1524
143,20140921_ST_1,UNIQUE HAPPIEST(S245),1500,1508
144,20140921_ST_1,WIN IT(P032),1500,1556
145,20140921_ST_2,ALL TIMES LUCKY(P064),1500,1572
146,20140921_ST_2,BLISS CARTEL(S202),1500,1444
147,20140921_ST_2,BUNKER SHOT(S137),1500,1428
148,20140921_ST_2,EXCEL ONESELF(P287),1500,1460
149,20140921_ST_2,FOUR FOUR FIVE(P445),1500,1412
150,20140921_ST_2,FUJIAN SPIRIT(N397),1500,1556
151,20140921_ST_2,JOLLY SPRING(P395),1500,1492
152,20140921_ST_2,SPEEDY LONGWAH(S242),1500,1476
153,20140921_ST_2,SUCCESSFUL LEADER(P353),1500,1540
154,20140921_ST_2,ULTIMATE GLORY(S235),1500,1524
155,20140921_ST_2,UNIQUE JOYFUL(S241),1500,1588
156,20140921_ST_2,WINNING PREMIUM(S115),1500,1508
157,20140921_ST_3,BRILLIANT DREAM(S203),1500,1548
158,20140921_ST_3,CHINA POWER(M400),1500,1484
159,20140921_ST_3,GENUINE CHAMPION(P402),1500,1516
160,20140921_ST_3,GLORIOUS VICTORY(S369),1500,1468
161,20140921_ST_3,KOKODA(P157),1500,1500
162,20140921_ST_3,MI SAVVY(N138),1500,1452
163,20140921_ST_3,MULTI-WIN GENERAL(P434),1500,1532
164,20140921_ST_3,SUPER TORNADO(S071),1500,1436
165,20140921_ST_3,THE PRINCE(L241),1500,1564
166,20140921_ST_4,ARCHER'S BOW(P055),1500,1477
167,20140921_ST_4,BEST JADE TRIUMPH(P070),1500,1605
